domain,trust_score,blacklisted,ip_bad_count_total,ip_bad_count_bad,ssl_valid,ip_country,anonymous_whois,alexa_rank,dnsblock_threat_count,whois_registration_duration,whois_valid_email,avg_review_score,facebook_comments_total_count,facebook_comments_negative_count,facebook_comments_positive_count,popularity_rank,scamadviser_votes_legit,scamadviser_votes_scam,scamadviser_votes_fake,is_legit
comericafinancialbk.com,1,False,666,207,True,GB,True,-1,0,0.99,True,1.0,0,0,0,-1,0,0,0,False
hugedomains.com,100,False,56,2,True,US,False,1457,0,20.74,True,1.29,18,9,2,-1,10,171,48,False
crm.stunwill.com,19,False,5000,180,False,DE,False,-1,0,3.09,True,0,0,0,0,-1,0,0,0,False
crptrade.com,1,False,5000,184,True,US,True,-1,0,1.07,True,1.55,0,0,0,-1,0,0,0,False
cryp-vestfx.com,1,False,247,42,True,NL,True,-1,0,1.73,True,1.0,0,0,0,-1,0,0,0,False
cryptextrading.com,41,False,5000,919,True,DE,True,-1,0,2.87,False,1.1,0,0,0,-1,0,0,0,False
crypto-exch.com,1,False,5000,186,True,US,,-1,0,1.67,,1.0,0,0,0,-1,0,2,0,False
crypto-institute.com,13,False,36146,2556,False,US,True,-1,1,4.27,False,0,0,0,0,-1,0,0,0,False
cryptoadviseruk.com,1,False,5000,160,True,US,,-1,0,1.73,,3.0,0,0,0,-1,0,0,0,False
cryptobourse.net,10,False,3288,581,False,US,,-1,1,3.07,,0,0,0,0,-1,0,0,0,False
cryptocash24.com,13,False,1819,39,False,NL,True,-1,0,4.82,False,0,0,0,0,-1,0,0,0,False
cryptocurrencybitcore.com,1,False,142,61,True,AU,True,-1,0,0.95,True,1.1,0,0,0,-1,0,10,3,False
cryptocurrencybtx.com,1,False,5000,180,True,DE,True,-1,0,2.32,True,1.1,0,0,0,-1,0,3,1,False
cryptoeraonline.com,13,False,0,0,False,,True,-1,2,0,,0,0,0,0,-1,0,0,0,False
cryptoexu.com,1,False,118,107,True,US,False,-1,0,1.58,True,1.0,0,0,0,-1,0,0,0,False
cryptofast.net,56,False,821,114,True,US,True,-1,0,1.03,False,0,0,0,0,-1,0,0,0,False
cryptofrancecapital.com,13,False,0,0,False,,True,-1,2,0,,0,0,0,0,-1,0,0,0,False
cryptofundfx.com,1,False,516,86,False,US,True,-1,0,3.81,False,1.4,0,0,0,-1,0,7,3,False
cryptolegacypro.com,16,False,5000,161,True,US,True,-1,0,4.94,True,1.0,0,0,0,-1,0,0,0,False
cryptomonaies.com,13,False,10,0,True,US,True,-1,1,6.77,True,0,0,0,0,-1,0,0,0,False
cryptomoney888.com,13,False,0,0,False,,True,-1,2,0,,0,0,0,0,-1,0,0,0,False
cryptoning.com,42,False,0,0,True,DE,False,-1,0,4.49,True,0,0,0,0,-1,0,0,0,False
cryptoprofx.com,17,False,5,3,False,US,True,-1,0,2.04,True,0,0,0,0,-1,0,0,0,False
cryptoquicker.com,13,False,0,0,False,US,True,-1,0,0.79,False,0,0,0,0,-1,0,0,0,False
cryptos-house.com,50,False,5,0,True,JP,True,-1,0,3.91,True,0,0,0,0,-1,0,0,0,False
cryptos.solutions,1,False,442,47,False,PT,,-1,1,0,,0,0,0,0,-1,0,0,0,False
cryptosone.com,10,False,5000,318,False,US,True,-1,1,6.87,False,0,0,0,0,-1,0,0,0,False
cryptotora.com,1,False,912,301,True,US,True,-1,0,1.51,False,1.62,0,0,0,-1,0,0,0,False
cryptoxcointrade.online,1,False,143,73,True,,True,-1,2,1.55,True,1.0,0,0,0,-1,0,0,0,False
cybercapital.ltd,1,False,253,76,True,US,True,-1,0,1.34,True,1.0,0,0,0,-1,0,0,0,False
daofenix.com,1,False,125,24,True,US,False,-1,0,1.5,True,0,0,0,0,-1,0,0,0,False
ww25.daoftxdex.com,47,False,5000,510,False,US,,-1,0,1.81,,1.1,0,0,0,-1,0,0,0,False
dapp.tokenpocket-app.me,46,False,5000,284,False,DE,True,-1,0,1.17,False,0,0,0,0,-1,0,0,0,False
darwave.com,16,False,14,4,True,US,True,-1,0,0.73,False,0,0,0,0,-1,0,0,0,False
dibbs.co,41,False,5000,166,True,US,True,-1,0,4.78,False,1.26,0,0,0,-1,0,2,1,False
digicoins.cc,1,False,0,0,False,,,-1,3,0.85,,0,0,0,0,-1,0,0,0,False
digitalwalletfutures.com,42,False,171,34,True,HK,True,-1,0,1.53,False,1.5,0,0,0,-1,0,0,0,False
direct-ep.com,1,False,0,0,False,HK,True,-1,1,2.56,True,0,0,0,0,-1,0,0,0,False
directco-invest.com,59,False,0,0,False,US,True,-1,0,4.58,False,3.0,0,0,0,-1,0,0,0,False
dunemining.pro,83,False,0,0,False,,True,-1,3,0,,0,0,0,0,-1,0,0,0,False
hugedomains.com,100,False,56,2,True,US,False,1457,0,20.74,True,1.29,18,9,2,-1,10,171,48,False
ecoin-stock.com,10,False,5000,262,False,US,True,-1,0,6.42,True,0,0,0,0,-1,0,0,0,False
elitetrader.io,1,False,193,48,True,US,False,-1,0,0.96,False,1.0,0,0,0,-1,0,0,0,False
epargne-crypto.io,1,False,5000,141,True,US,True,-1,0,0.99,False,2.44,0,0,0,-1,0,0,0,False
epargnebitcoin.com,13,False,0,0,False,,True,-1,2,0,,0,0,0,0,-1,0,0,0,False
ethereumxcorp.com,1,False,197,54,True,US,,-1,0,0.74,,0,0,0,0,-1,0,0,0,False
euro-crypto.com,13,False,5000,918,True,DE,True,-1,0,3.11,False,0,0,0,0,-1,0,0,0,False
exopip.com,1,False,3,2,True,MY,,-1,0,1.4,,1.73,0,0,0,-1,0,0,0,False
exs-bitcoins.com,1,False,2,2,True,HK,True,-1,0,1.54,True,1.37,0,0,0,-1,0,0,0,False
extra-gains.com,35,False,1,1,True,NL,True,7939893,0,3.86,True,0,0,0,0,-1,0,0,0,False
fair-oakscrypto.com,13,False,0,0,False,US,False,-1,0,3.99,True,0,0,0,0,-1,0,0,0,False
fc.bitcoinfrance-appl.com,55,False,9,6,True,DE,True,10202220,0,4.48,False,0,0,0,0,-1,0,0,0,False
finances-markets.com,1,False,5000,106,False,US,True,-1,0,6.15,False,0,0,0,0,-1,0,0,0,False
finetero.com,1,False,5000,161,True,US,True,2803422,0,3.82,False,1.82,0,0,0,-1,0,12,8,False
fitbela.org,56,False,0,0,True,,True,-1,0,2.16,False,0,0,0,0,-1,0,0,0,False
fitbelaepro.com.tw,1,False,12,0,True,HK,False,-1,0,0,True,0,0,0,0,-1,0,0,0,False
flipuniquemarket.live,41,False,5000,992,True,US,True,-1,0,2.11,True,1.0,0,0,0,-1,0,2,2,False
fr.kiplar.com,1,False,45,2,True,NL,True,-1,0,4.49,True,1.0,0,0,0,-1,0,0,0,False
fundcryptosecure.com,13,False,0,0,False,,True,-1,2,0,,0,0,0,0,-1,0,0,0,False
fundobits.org,6,False,455,185,True,US,True,-1,0,0.98,True,1.0,0,0,0,-1,0,0,0,False
futurbtc.com,1,False,1,1,True,NL,,-1,0,1.4,,1.81,0,0,0,-1,0,0,0,False
fx-yongying.com,56,False,5000,106,True,US,False,-1,0,2.11,True,1.44,0,0,0,-1,0,1,0,False
ww25.gechains.com,22,False,5000,1392,False,US,True,-1,0,1.01,True,1.1,0,0,0,-1,0,0,0,False
geetle.com,51,False,229,20,True,NL,,-1,0,4.18,,4.2,0,0,0,-1,0,0,0,False
getbonusx2.com,1,False,38,15,True,US,,-1,1,0.97,,0,0,0,0,-1,0,0,0,False
ggmcryptotrademarket.com,1,False,123,70,True,US,True,-1,0,2.23,True,0,0,0,0,-1,0,0,0,False
globalbtcwallet.com,1,False,5000,126,False,,,9112799,3,2.87,,2.09,0,0,0,-1,0,8,2,False
globaltekforex.com,1,False,582,344,True,FI,,-1,0,2.06,,1.0,0,0,0,-1,0,0,0,False
gmelaunch.com,26,False,121,47,True,US,True,-1,0,0.47,True,0,0,0,0,-1,0,0,0,False
gmt-crypto.com,10,True,8,8,False,HK,False,-1,0,4.38,False,0,0,0,0,-1,0,0,0,False
goldencoinex.com,1,False,4240,1101,True,NL,True,-1,0,0.78,False,1.69,0,0,0,-1,0,7,3,False
good-bookingline.com,21,False,190,63,True,US,True,-1,0,0.58,True,0,0,0,0,-1,0,0,0,False
good-crypto.com,13,False,0,0,False,US,,-1,1,0,,0,0,0,0,-1,0,0,0,False
green.im-tokens.store,1,False,41,39,False,DE,True,-1,0,1.19,True,1.0,0,0,0,-1,0,0,0,False
