domain,trust_score,blacklisted,ip_bad_count_bad,ssl_valid,ip_country,anonymous_whois,dnsblock_threat_count,whois_registration_duration,whois_valid_email,avg_review_score,facebook_comments_negative_count,facebook_comments_positive_count,scamadviser_votes_legit,scamadviser_votes_scam,scamadviser_votes_fake,is_legit
kujira.network,47.0,0,0.12,1,US,1,0,2.16,0,1.0,0.0,0.0,0,0,0,1
bydfi.com,1.0,0,0.25,1,US,1,0,2.26,0,2.26,0.0,0.0,0,0,0,1
mcminage.com,50.0,0,0.0,0,US,1,0,3.39,1,0.0,0.0,0.0,0,0,0,0
micavhe.top,46.0,0,0.0,1,US,1,0,1.7,0,1.0,0.0,0.0,0,0,0,0
zipmex.com,85.0,0,0.28,1,US,1,0,6.12,0,2.05,0.0,0.0,0,2,0,1
nowpayments.io,56.0,0,0.24,1,US,1,0,5.29,1,3.17,0.0,0.0,0,0,0,0
smardex.io,32.0,0,0.23,1,NL,1,0,1.89,0,3.7,0.0,0.0,0,0,0,1
digifinex.com,100.0,0,0.0,1,US,0,0,6.88,0,3.86,0.0,0.0,0,2,0,1
coinjab.net,41.0,0,0.04,1,DE,1,0,2.03,1,1.2,0.0,0.0,0,0,0,0
bitx.net,86.0,0,0.31,1,US,1,0,22.55,1,1.0,1.0,0.0,1,1,0,0
ww25.apro777.com,1.0,0,0.3,0,US,1,0,0.16,1,0.0,0.0,0.0,0,0,0,0
app.nash.io,100.0,0,0.0,1,US,1,0,9.72,0,0.0,0.0,0.0,0,0,0,1
rfsecurities.com,1.0,0,0.29,1,US,1,0,0.87,1,1.0,0.0,0.0,0,0,0,0
cryptextrading.com,41.0,0,0.18,1,DE,1,0,2.87,0,1.1,0.0,0.0,0,0,0,0
wazirx.com,65.0,0,0.0,1,US,0,0,6.63,1,1.67,0.0,0.6,3,4,0,1
quantumfundsgroup.net,41.0,0,0.04,1,US,1,0,1.11,1,1.0,0.0,0.0,0,0,0,0
app.yuzu-swap.com,35.0,0,0.0,0,HK,1,0,2.76,0,0.0,0.0,0.0,0,0,0,1
bitonic.nl,100.0,0,0.0,1,DE,0,0,12.38,0,3.95,0.0,0.0,0,1,1,1
btcc.com,1.0,0,0.07,1,US,1,0,29.16,0,3.54,0.0,1.0,0,6,1,1
solidly.com,92.0,0,0.34,1,US,0,0,20.37,0,4.0,0.0,0.0,0,0,1,1
babydogeswap.com,42.0,0,0.06,1,US,1,0,3.1,0,1.3,0.0,0.0,0,2,1,1
websea.com,100.0,0,0.03,1,US,1,0,23.83,0,4.03,0.0,0.0,0,0,0,1
app.voltage.finance,67.0,0,0.26,1,NL,1,0,3.41,0,0.0,0.0,0.0,0,0,0,1
sushi.com,100.0,0,0.17,1,US,0,0,25.44,0,1.69,0.0,0.0,0,0,0,1
tradeogre.com,1.0,0,0.32,1,US,1,0,6.56,1,3.38,0.0,0.0,0,1,1,1
coinifytradingbolt.net,1.0,0,0.55,1,US,1,0,1.96,1,0.0,0.0,0.0,0,0,0,0
latoken.com,1.0,0,0.16,1,US,1,0,7.04,0,4.43,0.0,0.0,0,16,4,1
bitbank.cc,1.0,0,0.11,1,NL,1,0,9.08,1,1.42,0.0,0.0,0,8,0,1
mainnet.aux.exchange,62.0,0,0.14,1,US,1,0,1.84,0,0.0,0.0,0.0,0,0,0,1
ww12.agkapital.com,91.0,0,0.2,0,US,1,0,3.41,0,0.0,0.0,0.0,0,0,0,0
mexc.com,100.0,0,0.0,1,JP,1,0,24.41,1,1.39,0.0,0.0,0,8,3,1
1inch.exchange,100.0,0,0.3,1,US,1,0,5.24,1,4.69,0.0,0.0,0,0,0,1
coinmate.io,100.0,0,0.06,1,US,1,0,10.61,1,3.97,0.0,0.0,0,0,0,1
tokenize.exchange,91.0,0,0.5,1,US,1,0,6.86,0,2.06,0.0,0.0,0,0,0,1
app.diffusion.fi,82.0,0,0.46,1,BR,0,0,2.58,0,0.0,0.0,0.0,0,0,0,1
probit.com,100.0,0,0.0,1,US,0,0,25.34,0,4.36,1.0,0.0,0,5,1,1
hugedomains.com,100.0,0,0.04,1,US,0,0,20.74,1,1.29,0.5,0.11,10,171,48,0
cryptoeraonline.com,13.0,0,0.0,0,US,1,2,0.0,0,0.0,0.0,0.0,0,0,0,0
imtokenbe.com,22.0,0,0.28,1,US,1,0,1.97,0,1.0,0.0,0.0,0,4,2,0
ww16.newcfds.com,92.0,0,0.14,0,DE,0,0,2.27,0,0.0,0.0,0.0,0,0,0,0
hugedomains.com,100.0,0,0.05,1,US,0,0,20.74,1,1.21,0.5,0.11,10,171,48,0
ceggcc.vip,45.0,0,0.0,1,US,1,2,2.45,1,0.0,0.0,0.0,0,0,0,0
